Model,Accuracy,ROC-AUC,Sensitivity,Specificity
Logistic Regression,0.9015585606234242,0.816249354089748,0.2605288932419197,0.9865022712524335
SVM (RBF),0.9146229658491863,0.8249266697216977,0.3403525954946131,0.990720311486048
Random Forest,0.9208686683474674,0.891377646325287,0.4632713026444662,0.981505515898767
